PLAYER,TEAM,AGE,GP,MIN,DEFLECTIONS,"DEF LOOSE BALLS
RECOVERED","CHARGES
DRAWN","CONTESTED
2PT SHOTS","CONTESTED
3PT SHOTS"
Aaron Gordon,ORL,23,78,33.8,1.3,0.6,0.01,4.4,2.1
Aaron Holiday,IND,22,50,12.9,0.7,0.2,0,1.5,1
Abdel Nader,OKC,25,61,11.4,0.5,0.2,0.02,2.1,1.6
Al Horford,BOS,33,68,29,1.4,0.6,0,9.1,2.9
Al-Farouq Aminu,POR,28,81,28.3,1.9,0.5,0.02,4.4,3.1
Alan Williams,BKN,26,5,5.1,0.2,0.2,0,0.6,1
Alec Burks,SAC,27,64,21.5,1.2,0.3,0,3,2.1
Alex Abrines,OKC,25,31,19,0.9,0.4,0.06,3.5,2
Alex Caruso,LAL,25,25,21.2,1.9,0.2,0.16,2.8,2.8
Alex Len,ATL,26,77,20.1,0.5,0.2,0,7.8,1.7
Alex Poythress,ATL,25,21,14.5,0.7,0.1,0,2.9,1.2
Alfonzo McKinnie,GSW,26,72,13.9,0.6,0.3,0.03,1.5,1.6
Alize Johnson,IND,23,14,4.6,0.2,0.1,0,1,1.1
Allen Crabbe,BKN,27,43,26.4,1,0.4,0,2.7,1.9
Allonzo Trier,NYK,23,64,22.8,0.8,0.4,0.05,2.2,1.9
Amile Jefferson,ORL,26,12,5.7,0.3,0.2,0,1.6,0.7
Amir Johnson,PHI,32,51,10.4,0.7,0.1,0.04,3.4,0.8
Andre Drummond,DET,25,79,33.5,2.9,0.7,0.01,10.2,2.9
Andre Iguodala,GSW,35,68,23.2,1.7,0.7,0.03,2.6,2
Andre Ingram,LAL,33,4,3.7,0.3,0,0,0.5,0.3
Andrew Bogut,GSW,34,11,12.2,0.4,0,0.27,4.2,0.6
Andrew Harrison,NOP,24,17,10.9,0.9,0.1,0.18,0.9,1.2
Andrew Wiggins,MIN,24,73,34.8,1.7,0.6,0,4.5,4.4
Anfernee Simons,POR,20,20,7,0.2,0,0,1.1,0.9
Angel Delgado,LAC,24,2,7.4,0.5,0,0,2.5,0
Ante Zizic,CLE,22,59,18.3,0.3,0.3,0,5.5,1.1
Anthony Davis,NOP,26,56,33,2.7,0.8,0.11,8.8,3.4
Anthony Tolliver,MIN,34,65,16.6,0.4,0.3,0.22,2,1.6
Antonio Blakeney,CHI,22,57,14.5,0.3,0.2,0,1.2,1.4
Aron Baynes,BOS,32,51,16.1,0.4,0.1,0.35,6.3,1.7
Austin Rivers,HOU,26,76,26.7,1.2,0.5,0.07,3,1.7
Avery Bradley,MEM,28,63,30.2,1.6,0.5,0.06,2.5,2.2
BJ Johnson,SAC,23,7,7.1,0.3,0,0,0.6,0.4
Bam Adebayo,MIA,21,82,23.3,1.4,0.3,0,6,2
Ben McLemore,SAC,26,19,8.3,0.3,0.1,0.05,0.9,0.5
Ben Simmons,PHI,22,79,34.2,2.7,0.9,0,3.7,2.9
Billy Garrett,NYK,24,4,15.9,1.5,0.5,0.25,0.5,1.3
Bismack Biyombo,CHA,26,54,14.5,0.3,0.1,0.02,4.9,1.2
Blake Griffin,DET,30,75,35,1.4,0.6,0.41,3.9,3.4
Boban Marjanovic,PHI,30,58,11.7,0.3,0.1,0,5.2,1.1
Bobby Portis,WAS,24,50,26,1.3,0.4,0.02,4.2,2
Bogdan Bogdanovic,SAC,26,70,27.8,2.3,0.4,0.01,3,2.5
Bojan Bogdanovic,IND,30,81,31.8,1.2,0.5,0.04,2.7,3.5
Bonzie Colson,MIL,23,8,12.3,0.9,0.4,0,2.1,2.8
Brad Wanamaker,BOS,29,36,9.5,1.1,0.2,0,0.8,1.1
Bradley Beal,WAS,26,82,36.9,2.5,0.9,0.15,3.4,4
Brandon Goodwin,DEN,23,16,3.6,0,0,0.06,0.3,0.4
Brandon Ingram,LAL,21,52,33.9,0.9,0.5,0.04,4.1,4.1
Brandon Knight,CLE,27,39,18.9,0.9,0.2,0.05,1.1,1.8
Brandon Sampson,CHI,22,14,15.3,0.6,0.1,0,1.6,1.1
Brook Lopez,MIL,31,81,28.7,1,0.4,0,16.1,3.5
Bruce Brown,DET,22,74,19.6,1.2,0.4,0,3.2,2.2
Bruno Caboclo,MEM,23,34,23.5,1.4,0.2,0,4.7,2.4
